"Position","title","link"
1,"#251 – AMA #46: Optimizing brain health: Alzheimer’s disease risk factors, APOE, prevention strategies, and more","https://peterattiamd.com/ama46/"
2,"Putting out the fire on the gas stove debate","https://peterattiamd.com/putting-out-the-fire-on-the-gas-stove-debate/"
3,"#247 ‒ Preventing cardiovascular disease: the latest in diagnostic imaging, blood pressure, metabolic health, and more | Ethan Weiss, M.D.","https://peterattiamd.com/ethanweiss2/"
4,"More hype than substance: erythritol and cardiovascular risk","https://peterattiamd.com/more-hype-than-substance-erythritol-and-cardiovascular-risk/"
5,"Screen time and children’s cognition: a question of context","https://peterattiamd.com/children-and-screen-time/"
6,"#240 ‒ The confusion around HDL and its link to cardiovascular disease | Dan Rader, M.D.","https://peterattiamd.com/danrader/"
7,"#238 – AMA #43: Understanding apoB, LDL-C, Lp(a), and insulin as risk factors for cardiovascular disease","https://peterattiamd.com/ama43/"
8,"Non-caffeine components of coffee and their effects on neurodegenerative diseases","https://peterattiamd.com/coffee-and-neurodegenerative-disease/"
9,"Antitumor mRNA vaccines are cause for optimism","https://peterattiamd.com/antitumor-mrna-vaccines/"
10,"#236 ‒ Neurodegenerative disease: pathology, screening, and prevention | Kellyann Niotis, M.D.","https://peterattiamd.com/kellyannniotis/"
11,"Can an annual flu vaccine reduce your risk of Alzheimer’s disease?","https://peterattiamd.com/ad-risk-flu/"
12,"#230 ‒ Cardiovascular disease in women: prevention, risk factors, lipids, and more | Erin Michos, M.D.","https://peterattiamd.com/erinmichos/"
13,"Reassuring new data on statin-induced Lp(a) elevation","https://peterattiamd.com/statin-induced-lpa-elevation/"
14,"#229 ‒ Understanding cardiovascular disease risk, cholesterol, and apoB","https://peterattiamd.com/understanding-cardiovascular-disease/"
15,"Muscle Mass and Cognitive Function","https://peterattiamd.com/muscle-mass-and-cognitive-function/"
16,"Confusion over results of a recent colonoscopy trial","https://peterattiamd.com/colonoscopy-and-acm/"
17,"The genetics of PCSK9i nonresponders","https://peterattiamd.com/genetics-of-pcsk9i-nonresponders/"
18,"Adding context to the Alzheimer’s disease research fraud charges","https://peterattiamd.com/alzheimers-disease-research-fraud/"
19,"Heart Disease: Labs & Diagnostic Tests","https://peterattiamd.com/heart-disease-labs-diagnostic-tests/"
20,"The five main tools for managing blood glucose numbers","https://peterattiamd.com/the-five-main-tools-for-managing-blood-glucose-numbers/"
21,"First Case of Human PCSK9 Gene-Editing","https://peterattiamd.com/pcsk9-gene-editing/"
22,"#216 – Metabolomics, NAD+, and cancer metabolism | Josh Rabinowitz, M.D., Ph.D.","https://peterattiamd.com/joshrabinowitz/"
23,"Alzheimer’s disease — what labs can tell you about your risk","https://peterattiamd.com/alzheimers-disease-what-labs-can-tell-you-about-your-risk/"
24,"Why does Alzheimer’s disease affect more women than men?","https://peterattiamd.com/why-does-alzheimers-disease-affect-more-women-than-men/"
25,"The connection between sleep and Alzheimer’s disease","https://peterattiamd.com/the-connection-between-sleep-and-alzheimers-disease/"
26,"The connection between sleep and heart disease","https://peterattiamd.com/the-connection-between-sleep-and-heart-disease/"
27,"Fighting cancer and improving immune function with sleep","https://peterattiamd.com/fighting-cancer-improving-immune-function-with-sleep/"
28,"Why sleep is the best insurance policy for lifespan and healthspan","https://peterattiamd.com/sleep-best-insurance-policy-lifespan-healthspan/"
29,"#213 ‒ Liquid biopsies and cancer detection | Max Diehn, M.D. Ph.D.","https://peterattiamd.com/maxdiehn/"
