"Position","title","link"
1,"Are continuous glucose monitors a waste of time for people without diabetes?","https://peterattiamd.com/are-continuous-glucose-monitors-a-waste-of-time-for-people-without-diabetes/"
2,"#165 – AMA #24: Deep dive into blood glucose: why it matters, important metrics to track, and superior insights from a CGM","https://peterattiamd.com/ama24/"
3,"A hope for treating Alzheimer’s disease?","https://peterattiamd.com/a-hope-for-treating-alzheimers-disease/"
4,"#164 – Amanda Smith, M.D.: Diagnosing, preventing, and treating Alzheimer’s disease, and what we can all learn from patients with dementia","https://peterattiamd.com/amandasmith/"
5,"#162 – Sarah Hallberg, D.O., M.S.: Challenging the status quo of treating metabolic disease, and a personal journey through a grim cancer diagnosis","https://peterattiamd.com/sarahhallberg/"
6,"Does NMN improve metabolic health in humans?","https://peterattiamd.com/does-nmn-improve-metabolic-health-in-humans/"
10,"mRNA vaccine technology","https://peterattiamd.com/mrna-technology/"
12,"Early risk assessment markers to delay cardiovascular disease","https://peterattiamd.com/early-risk-assessment-markers-to-delay-cardiovascular-disease/"
13,"#152 – Michael Rintala, D.C.: Principles of Dynamic Neuromuscular Stabilization (DNS)","https://peterattiamd.com/michaelrintala/"
15,"#149 – AMA #20: Simplifying the complexities of insulin resistance: how it’s measured, how it manifests in the muscle and liver, and what we can do about it","https://peterattiamd.com/ama20/"
17,"Lung cancer in never smokers; Diagnosing a medical case study","https://peterattiamd.com/lung-cancer-in-never-smokers-diagnosing-a-medical-case-study/"
18,"#147 – Hussein Yassine, M.D.: Deep dive into the “Alzheimer’s gene” (APOE), brain health, and omega-3s","https://peterattiamd.com/husseinyassine/"
20,"A few things worth checking out: 12-13-2020","https://peterattiamd.com/a-few-things-worth-checking-out-12-13-2020/"
21,"#140 – Gerald Shulman, M.D., Ph.D.: A masterclass on insulin resistance—molecular mechanisms and clinical implications","https://peterattiamd.com/geraldshulman/"
22,"A few things worth sharing: 11-29-2020","https://peterattiamd.com/a-few-things-worth-sharing-11-29-2020/"
23,"#138 – Lauren Miller Rogen and Richard Isaacson, M.D.: Alzheimer’s disease prevention—patient and doctor perspectives","https://peterattiamd.com/laurenmillerrogen-richardisaacson/"
24,"Q&A on Alzheimer’s disease drug therapy with Dr. Richard Isaacson","https://peterattiamd.com/qa-with-dr-richard-isaacson-on-aducanumab-alzheimers-disease-drug-therapy/"
27,"#136 – AMA #17: Body composition methods tour de force, insulin resistance, and Topo Chico","https://peterattiamd.com/ama17/"
28,"#135 – BJ Miller, M.D.: How understanding death leads to a better life","https://peterattiamd.com/bjmiller/"
29,"#134 – James O’Keefe, M.D.: Preventing cardiovascular disease and the risk of too much exercise","https://peterattiamd.com/jamesokeefe/"
30,"#133 – Vinay Prasad, M.D., M.P.H: Hallmarks of successful cancer policy","https://peterattiamd.com/vinayprasad/"
31,"#132 – AMA #16: Exploring hot and cold therapy","https://peterattiamd.com/ama16/"
32,"Colorectal cancer screening","https://peterattiamd.com/colorectal-cancer-screening/"
33,"#129 – Tom Dayspring, M.D.: The latest insights into cardiovascular disease and lipidology","https://peterattiamd.com/tomdayspring6/"
34,"#124 – AMA #15: Real-world case studies—metabolic dysregulation, low testosterone, menopause, and more","https://peterattiamd.com/ama15/"
36,"Robin Williams","https://peterattiamd.com/robin-williams/"
37,"#121 – Azra Raza, M.D.: Why we’re losing the war on cancer","https://peterattiamd.com/azraraza/"
38,"#120 – AMA with Dom D’Agostino, Ph.D., Part II of II: Ketosis for cancer and chronic disease, hyperbaric oxygen therapy, and the effect of ketosis on female health","https://peterattiamd.com/domdagostinoama02/"
40,"#116 – AMA with Dom D’Agostino, Ph.D., Part I of II: Ketogenic diet, exogenous ketones, and exercise","https://peterattiamd.com/domdagostinoama01/"
43,"#114 – Eileen White, Ph.D.: Autophagy, fasting, and promising new cancer therapies","https://peterattiamd.com/eileenwhite/"
44,"SARS-CoV-2 and the host response: psychological stress","https://peterattiamd.com/sars-cov-2-and-the-host-response-psychological-stress/"
45,"#112 – Ned David, Ph.D.: How cellular senescence influences aging, and what we can do about it","https://peterattiamd.com/neddavid/"
