Position,title,link
"0","Can a new drug mimic the effects of exercise on bone and muscle?","https://peterattiamd.com/can-a-new-drug-mimic-the-effects-of-exercise-on-bone-and-muscle/"
"1","#242 – AMA #44: Peter’s historical changes in body composition with his evolving dietary, fasting, and training protocols","https://peterattiamd.com/ama44/"
"2","#232 ‒ Shoulder, elbow, wrist, and hand: diagnosis, treatment, and surgery of the upper extremities | Alton Barron, M.D.","https://peterattiamd.com/altonbarron/"
"3","#228 ‒ Improving body composition, female-specific training principles, and overcoming an eating disorder | Holly Baxter, APD","https://peterattiamd.com/hollybaxter/"
"8","#218 – AMA #38: Can you exercise too much?","https://peterattiamd.com/ama38/"
"9","#217 ‒ Exercise, VO2 max, and longevity | Mike Joyner, M.D.","https://peterattiamd.com/mikejoyner/"
"10","Avoiding Injury Part II: Grip Strength","https://peterattiamd.com/avoiding-injury-part-ii-grip-strength/"
"11","Avoiding Injury Part I: Eccentric Strength","https://peterattiamd.com/avoiding-injury-part-i-eccentric-strength/"
"12","#214 – AMA #37: Bone health—everything you need to know","https://peterattiamd.com/ama37/"
"14","Exercises After Shoulder Surgery (Post-Op Week 9)","https://peterattiamd.com/exercises-after-shoulder-surgery/"
"16","Why do we lose muscle strength with age?","https://peterattiamd.com/why-do-we-lose-muscle-strength-with-age/"
"18","3 Ways to Train Lower Leg Mechanics","https://peterattiamd.com/3-ways-to-train-frontal-plane-motion-of-the-foot/"
"19","Importance of maintaining use of your toes, minimalist footwear, and toe yoga","https://peterattiamd.com/importance-of-maintaining-use-of-your-toes/"
"20","Strength and stability are essential for longevity","https://peterattiamd.com/strength-and-stability-are-essential-for-longevity/"
"21","How does VO2 max correlate with longevity?","https://peterattiamd.com/how-does-vo2-max-correlate-with-longevity/"
"26","Are nitrates the next big thing for athletic performance?","https://peterattiamd.com/nitrates-athletic-performance/"
"28","#205 – Energy balance, nutrition, & building muscle | Layne Norton, Ph.D. (Pt.2)","https://peterattiamd.com/laynenorton2/"
"29","Does walking 10 minutes per day extend your life? (Hint: No.)","https://peterattiamd.com/does-walking-10-minutes-per-day-extend-your-life/"
"30","How to train balance & lower leg variability","https://peterattiamd.com/how-to-train-balance-lower-leg-variability/"
"33","Does PR Lotion really improve exercise performance?","https://peterattiamd.com/does-pr-lotion-really-improve-exercise-performance/"
"35","#200 – AMA #33: Hydration—electrolytes, supplements, sports drinks, performance effects, and more","https://peterattiamd.com/ama33/"
"37","#198 – Eye health—everything you need to know | Steven Dell, M.D.","https://peterattiamd.com/stevendell/"
"40","Peter Attia on Zone 2 and Zone 5 Training","https://peterattiamd.com/exercising-for-longevity-peter-on-zone-2-and-zone-5-training/"
"42","Peter Attia on the importance of preserving strength and muscle mass as we age","https://peterattiamd.com/peter-attia-on-the-importance-of-preserving-strength-and-muscle-mass-as-we-age/"
"44","Peter Attia & Beth Lewis on Dynamic Neuromuscular Stabilization (DNS)","https://peterattiamd.com/peter-attia-beth-lewis-on-dynamic-neuromuscular-stabilization-dns/"
"45","The important connection between the ribs and breathing","https://peterattiamd.com/the-important-connection-between-the-ribs-and-breathing/"
"46","Is there such a thing as “bad posture”?","https://peterattiamd.com/is-there-such-a-thing-as-bad-posture/"
"47","Peter on Stability — The foundation of the 4 exercise components","https://peterattiamd.com/peter-on-stability-the-foundation-of-the-4-exercise-components/"
"48","The value of habits, consistency, and resilience with Layne Norton, Ph.D.","https://peterattiamd.com/the-value-of-habits-consistency-and-resilience/"
"50","Does Exercise Affect Lifespan?","https://peterattiamd.com/does-exercise-affect-lifespan/"
"51","#179 – Jeremy Loenneke, Ph.D.: The science of blood flow restriction—benefits, uses, and what it teaches us about the relationship between muscle size and strength","https://peterattiamd.com/jeremyloenneke/"
"54","Morning vs evening exercise","https://peterattiamd.com/morning-vs-evening-exercise/"
