"Position","title","link"
1,"#247 ‒ Preventing cardiovascular disease: the latest in diagnostic imaging, blood pressure, metabolic health, and more | Ethan Weiss, M.D.","https://peterattiamd.com/ethanweiss2/"
2,"More hype than substance: erythritol and cardiovascular risk","https://peterattiamd.com/more-hype-than-substance-erythritol-and-cardiovascular-risk/"
3,"#240 ‒ The confusion around HDL and its link to cardiovascular disease | Dan Rader, M.D.","https://peterattiamd.com/danrader/"
4,"#238 – AMA #43: Understanding apoB, LDL-C, Lp(a), and insulin as risk factors for cardiovascular disease","https://peterattiamd.com/ama43/"
5,"#230 ‒ Cardiovascular disease in women: prevention, risk factors, lipids, and more | Erin Michos, M.D.","https://peterattiamd.com/erinmichos/"
6,"Reassuring new data on statin-induced Lp(a) elevation","https://peterattiamd.com/statin-induced-lpa-elevation/"
7,"#229 ‒ Understanding cardiovascular disease risk, cholesterol, and apoB","https://peterattiamd.com/understanding-cardiovascular-disease/"
8,"The genetics of PCSK9i nonresponders","https://peterattiamd.com/genetics-of-pcsk9i-nonresponders/"
9,"Heart Disease: Labs & Diagnostic Tests","https://peterattiamd.com/heart-disease-labs-diagnostic-tests/"
10,"First Case of Human PCSK9 Gene-Editing","https://peterattiamd.com/pcsk9-gene-editing/"
11,"The connection between sleep and heart disease","https://peterattiamd.com/the-connection-between-sleep-and-heart-disease/"
12,"Cumulative effects of LDL-C reduction in mitigating cardiovascular risk","https://peterattiamd.com/cumulative-effects-of-ldl-c-reduction-in-mitigating-cardiovascular-risk/"
13,"Lp(a) and CVD risk & clinical tests to measure Lp(a)","https://peterattiamd.com/lpa-and-cvd-risk-clinical-tests-to-measure-lpa/"
14,"Can cocoa help prevent cardiovascular death?","https://peterattiamd.com/can-cocoa-help-prevent-cardiovascular-death/"
15,"Peter’s approach to managing patients with high Lp(a)","https://peterattiamd.com/managing-patients-with-high-lpa/"
16,"#210 – Lp(a) and its impact on heart disease | Benoît Arsenault, Ph.D.","https://peterattiamd.com/benoitarsenault/"
17,"For triglycerides, “normal” may not be “optimal”","https://peterattiamd.com/triglyceride-levels-cardiovascular-risk/"
18,"#203 – AMA #34: What Causes Heart Disease?","https://peterattiamd.com/ama34/"
19,"Peter on the four horsemen of chronic disease","https://peterattiamd.com/peter-on-the-four-horsemen-of-chronic-disease/"
20,"#203 – AMA #34: What Causes Heart Disease?","https://peterattiamd.com/ama34/"
21,"When CAC Tests Are Useful and When They Are Not","https://peterattiamd.com/when-cac-tests-are-useful-and-when-they-are-not/"
22,"Peter on why early prevention of atherosclerosis is critical","https://peterattiamd.com/peter-on-why-early-prevention-of-atherosclerosis-is-critical/"
23,"Preventing Atherosclerosis: 2 Fatal Flaws with the “10 Year Risk” Approach","https://peterattiamd.com/preventing-atherosclerosis-flaws-with-the-10-year-risk-approach/"
24,"Peter on how early and aggressive lowering of apoB could change the course of ASCVD","https://peterattiamd.com/early-and-aggressive-lowering-of-apob/"
25,"#202 – Peter on nutrition, disease prevention, sleep, and more — looking back on the last 100 episodes","https://peterattiamd.com/strong-convictions-loosely-held-2/"
26,"Low LDL cholesterol and neural development","https://peterattiamd.com/low-ldl-cholesterol-and-neural-development/"
27,"#185 – Allan Sniderman, M.D.: Cardiovascular disease and why we should change the way we assess risk","https://peterattiamd.com/allansniderman/"
28,"Does fish oil cause cardiac arrhythmia in high-risk individuals?","https://peterattiamd.com/does-fish-oil-cause-cardiac-arrhythmia/"
29,"Does low cholesterol cause cognitive impairment? Part II","https://peterattiamd.com/does-low-cholesterol-cause-cognitive-impairment-part-ii/"
30,"Does low cholesterol cause cognitive impairment? Part II","https://peterattiamd.com/does-low-cholesterol-cause-cognitive-impairment-part-ii/"
31,"Does low cholesterol cause cognitive impairment? Part I","https://peterattiamd.com/does-low-cholesterol-cause-cognitive-impairment-part-i/"
32,"Are continuous glucose monitors a waste of time for people without diabetes?","https://peterattiamd.com/are-continuous-glucose-monitors-a-waste-of-time-for-people-without-diabetes/"
33,"Early risk assessment markers to delay cardiovascular disease","https://peterattiamd.com/early-risk-assessment-markers-to-delay-cardiovascular-disease/"
34,"#134 – James O’Keefe, M.D.: Preventing cardiovascular disease and the risk of too much exercise","https://peterattiamd.com/jamesokeefe/"
35,"#132 – AMA #16: Exploring hot and cold therapy","https://peterattiamd.com/ama16/"
36,"#111 – AMA #14: What lab tests can (and cannot) inform us about our overall objective of longevity","https://peterattiamd.com/ama14/"
37,"Qualy #106 – Does LDL cause heart disease?","https://peterattiamd.com/qualy-106-does-ldl-cause-heart-disease/"
38,"Qualy #82 – What is the most common first presentation of heart disease?","https://peterattiamd.com/qualy-82-what-is-the-most-common-first-presentation-of-heart-disease/"
39,"Measuring cardiovascular disease risk and the importance of apoB","https://peterattiamd.com/measuring-cardiovascular-disease-risk-and-the-importance-of-apob-part-1/"
40,"Coronary artery calcium scan","https://peterattiamd.com/coronary-artery-calcium-scan/"
41,"LDL-C & systolic blood pressure and lifetime risk of cardiovascular disease","https://peterattiamd.com/ldl-c-systolic-blood-pressure-and-lifetime-risk-of-cardiovascular-disease/"
42,"#52 – Ethan Weiss, M.D.: A masterclass in cardiovascular disease and growth hormone – two topics that are surprising interrelated","https://peterattiamd.com/ethanweiss/"
43,"#50 – AMA #5: calcium scores, Centenarian Decathlon™, exercise, muscle glycogen, keto, and more","https://peterattiamd.com/ama05/"
44,"#48 – Matthew Walker, Ph.D., on sleep – Part II of III: Heart disease, cancer, sexual function, and the causes of sleep disruption (and tips to correct it)","https://peterattiamd.com/matthewwalker2/"
45,"Red meat, cancer, push-ups, and CVD","https://peterattiamd.com/red-meat-cancer-push-ups-and-cvd/"
46,"#19 – Dave Feldman: stress testing the lipid energy model","https://peterattiamd.com/davefeldman/"
47,"Statins, Lp(a), and upcoming podcast guests","https://peterattiamd.com/statins-lpa-and-upcoming-podcast-guests/"
48,"#03 – Ron Krauss, M.D.: a deep dive into heart disease","https://peterattiamd.com/ronkrauss/"
49,"Does it help to know your coronary artery calcium score?","https://peterattiamd.com/does-it-help-to-know-your-coronary-artery-calcium-score/"
50,"A big predictor of heart disease risk that most doctors don’t screen for","https://peterattiamd.com/a-big-predictor-of-heart-disease-risk-that-most-doctors-dont-screen-for/"
51,"When does heart disease begin (and what this tells us about prevention)?","https://peterattiamd.com/heart-disease-begin-tell-us-prevention/"
52,"Is a Mediterranean diet best for preventing heart disease?","https://peterattiamd.com/is-a-mediterranean-diet-best-for-preventing-heart-disease/"
53,"How did we come to believe saturated fat and cholesterol are bad for us?","https://peterattiamd.com/how-did-we-come-to-believe-saturated-fat-and-cholesterol-are-bad-for-us/"
54,"The straight dope on cholesterol – Part IX","https://peterattiamd.com/the-straight-dope-on-cholesterol-part-ix/"
55,"The straight dope on cholesterol – Part VIII","https://peterattiamd.com/the-straight-dope-on-cholesterol-part-viii/"
56,"The straight dope on cholesterol – Part VII","https://peterattiamd.com/the-straight-dope-on-cholesterol-part-vii/"
57,"The straight dope on cholesterol – Part VI","https://peterattiamd.com/the-straight-dope-on-cholesterol-part-vi/"
58,"The straight dope on cholesterol – Part V","https://peterattiamd.com/the-straight-dope-on-cholesterol-part-v/"
59,"The straight dope on cholesterol – Part IV","https://peterattiamd.com/the-straight-dope-on-cholesterol-part-iv/"
60,"The straight dope on cholesterol – Part III","https://peterattiamd.com/the-straight-dope-on-cholesterol-part-iii/"
61,"LDL-C & systolic blood pressure and lifetime risk of cardiovascular disease","https://peterattiamd.com/ldl-c-systolic-blood-pressure-and-lifetime-risk-of-cardiovascular-disease/"
62,"#52 – Ethan Weiss, M.D.: A masterclass in cardiovascular disease and growth hormone – two topics that are surprising interrelated","https://peterattiamd.com/ethanweiss/"
63,"#50 – AMA #5: calcium scores, Centenarian Decathlon™, exercise, muscle glycogen, keto, and more","https://peterattiamd.com/ama05/"
64,"#48 – Matthew Walker, Ph.D., on sleep – Part II of III: Heart disease, cancer, sexual function, and the causes of sleep disruption (and tips to correct it)","https://peterattiamd.com/matthewwalker2/"
65,"Red meat, cancer, push-ups, and CVD","https://peterattiamd.com/red-meat-cancer-push-ups-and-cvd/"
66,"#19 – Dave Feldman: stress testing the lipid energy model","https://peterattiamd.com/davefeldman/"
67,"Statins, Lp(a), and upcoming podcast guests","https://peterattiamd.com/statins-lpa-and-upcoming-podcast-guests/"
68,"#03 – Ron Krauss, M.D.: a deep dive into heart disease","https://peterattiamd.com/ronkrauss/"
69,"Does it help to know your coronary artery calcium score?","https://peterattiamd.com/does-it-help-to-know-your-coronary-artery-calcium-score/"
