"Position","title","link"
1,"The five main tools for managing blood glucose numbers","https://peterattiamd.com/the-five-main-tools-for-managing-blood-glucose-numbers/"
2,"Is natural sugar from fruit just as ‘bad’ as added sugar?","https://peterattiamd.com/is-natural-sugar-from-fruit-just-as-bad-as-added-sugar/"
3,"Metabolic dysfunction case study and a framework for metabolic health","https://peterattiamd.com/metabolic-dysfunction-case-study-and-a-framework-for-metabolic-health/"
4,"How metabolic health impacts your ‘optimal’ diet","https://peterattiamd.com/how-metabolic-health-impacts-your-optimal-diet/"
5,"Why you should stop drinking sugar","https://peterattiamd.com/why-you-should-stop-drinking-sugar/"
6,"Can a father’s metformin cause birth defects in his sons?","https://peterattiamd.com/can-dads-metformin-cause-birth-defects-in-his-sons/"
7,"How deadly is type 2 diabetes?","https://peterattiamd.com/how-deadly-is-type-2-diabetes/"
8,"Peter Attia on the connection between stress and insulin resistance","https://peterattiamd.com/does-stress-cause-insulin-resistance/"
9,"Peter Attia on the role of exercise in mitigating and reversing insulin resistance","https://peterattiamd.com/reversing-insulin-resistance-with-exercise/"
10,"Qualys #168 – Sleep and insulin resistance with Matthew Walker, Ph.D.","https://peterattiamd.com/qualys-168-sleep-and-insulin-resistance-with-matthew-walker-ph-d/"
11,"Qualys #168 – Sleep and insulin resistance with Matthew Walker, Ph.D.","https://peterattiamd.com/qualys-168-sleep-and-insulin-resistance-with-matthew-walker-ph-d/"
12,"Qualys #166 – Theories on the origins and evolutionary reasons for insulin resistance","https://peterattiamd.com/qualys-166-theories-on-the-origins-and-evolutionary-reasons-for-insulin-resistance/"
13,"Qualys #261 – Insulin: The amazing story of its discovery, its effect on cellular metabolism and IGF-1, and why it’s so expensive","https://peterattiamd.com/qualys-261-insulin-the-amazing-story-of-its-discovery/"
14,"Qualys #165 – Attempting to define insulin resistance with Nir Barzilai, M.D.","https://peterattiamd.com/qualys-165-attempting-to-define-insulin-resistance-with-nir-barzilai/"
15,"Qualys #101 – What the hell does insulin resistance actually mean?","https://peterattiamd.com/qualys-101-what-the-hell-does-insulin-resistance-actually-mean/"
16,"Peter Attia on How Insulin Resistance Manifests in the Muscle","https://peterattiamd.com/peter-attia-on-how-insulin-resistance-manifests-in-the-muscle/"
17,"#194 – How fructose drives metabolic disease | Rick Johnson, M.D.","https://peterattiamd.com/rickjohnson2/"
18,"#173 – AMA #26: Continuous glucose monitors, zone 2 training, and a framework for interventions","https://peterattiamd.com/ama26/"
19,"Does NMN improve metabolic health in humans?","https://peterattiamd.com/does-nmn-improve-metabolic-health-in-humans/"
20,"#149 – AMA #20: Simplifying the complexities of insulin resistance: how it’s measured, how it manifests in the muscle and liver, and what we can do about it","https://peterattiamd.com/ama20/"
21,"#140 – Gerald Shulman, M.D., Ph.D.: A masterclass on insulin resistance—molecular mechanisms and clinical implications","https://peterattiamd.com/geraldshulman/"
22,"#136 – AMA #17: Body composition methods tour de force, insulin resistance, and Topo Chico","https://peterattiamd.com/ama17/"
23,"#110 – Lew Cantley, Ph.D.: Cancer metabolism, cancer therapies, and the discovery of PI3K","https://peterattiamd.com/lewcantley/"
24,"#87 – Rick Johnson, M.D.: Metabolic Effects of Fructose","https://peterattiamd.com/rickjohnson/"
25,"#85 – Iñigo San Millán, Ph.D.: Zone 2 Training and Metabolic Health","https://peterattiamd.com/inigosanmillan/"
26,"#69 – Ronesh Sinha, M.D.: Insights into the manifestation of metabolic disease in a patient population predisposed to metabolic syndrome, and what it teaches us more broadly","https://peterattiamd.com/roneshsinha/"
27,"#66 – Vamsi Mootha, M.D.: Aging, type 2 diabetes, cancer, Alzheimer’s disease, and Parkinson’s disease – do all roads lead to mitochondria?","https://peterattiamd.com/vamsimootha/"
28,"#59 – Jason Fung, M.D.: Fasting as a potent antidote to obesity, insulin resistance, type 2 diabetes, and the many symptoms of metabolic illness","https://peterattiamd.com/jasonfung/"
29,"#41 – Jake Kushner, M.D.: How to thrive with type 1 diabetes and how everyone can benefit from the valuable insights","https://peterattiamd.com/jakekushner/"
30,"#35 – Nir Barzilai, M.D.: How to tame aging","https://peterattiamd.com/nirbarzilai/"
