Position,title,link
0,Is a recent clinical trial enough to support the use of semaglutide in treating adolescent obesity?,https://peterattiamd.com/is-a-recent-clinical-trial-enough-to-support-the-use-of-semaglutide-in-treating-adolescent-obesity/
1,More hype than substance: erythritol and cardiovascular risk,https://peterattiamd.com/more-hype-than-substance-erythritol-and-cardiovascular-risk/
2,To reduce appetite skip late-night snacks,https://peterattiamd.com/to-reduce-appetite-skip-late-night-snacks/
3,Non-caffeine components of coffee and their effects on neurodegenerative diseases,https://peterattiamd.com/coffee-and-neurodegenerative-disease/
4,#227 – AMA #40: Body composition protein time-restricted feeding fasting DEXA scans and more,https://peterattiamd.com/ama40/
5,A “miracle pill” for hangover prevention?,https://peterattiamd.com/pill-to-prevent-hangovers/
6,#222 ‒ How nutrition impacts longevity | Matt Kaeberlein Ph.D.,https://peterattiamd.com/mattkaeberlein3/
7,Different effects of fat- vs. carbohydrate-restriction on neural reward signaling,https://peterattiamd.com/fat-vs-carbohydrate-restriction/
13,Vitamin D(éjà vu): new study same old problems,https://peterattiamd.com/vitamin-d-nejm-study/
14,#215 – The gut-brain connection | Michael Gershon M.D.,https://peterattiamd.com/michaelgershon/
15,#212 – The neuroscience of obesity | Stephan Guyenet Ph.D.,https://peterattiamd.com/stephanguyenet/
16,Sugar & Cancer: Does Fructose Cause Cancer?,https://peterattiamd.com/sugar-cancer-does-fructose-cause-cancer/
17,Is natural sugar from fruit just as ‘bad’ as added sugar?,https://peterattiamd.com/is-natural-sugar-from-fruit-just-as-bad-as-added-sugar/
18,#211 – AMA #36: Fruits & vegetables—everything you need to know,https://peterattiamd.com/ama36/
20,Why you should stop drinking sugar,https://peterattiamd.com/why-you-should-stop-drinking-sugar/
21,Why do women have lower alcohol tolerance than men?,https://peterattiamd.com/why-do-women-have-lower-alcohol-tolerance-than-men/
22,Is it bad to eat food too close to bedtime?,https://peterattiamd.com/is-it-bad-to-eat-food-too-close-to-bedtime/
23,How fasting can impact sleep,https://peterattiamd.com/how-fasting-can-impact-sleep/
24,Dieting while sleep deprived,https://peterattiamd.com/dieting-while-sleep-deprived/
26,Dispelling myths that excess protein intake increases cancer risk,https://peterattiamd.com/dispelling-myths-protein-increases-cancer-risk/
27,Are you eating enough protein?,https://peterattiamd.com/are-you-eating-enough-protein/
29,#202 – Peter on nutrition disease prevention sleep and more — looking back on the last 100 episodes,https://peterattiamd.com/strong-convictions-loosely-held-2/
30,Alcohol sleep and stress: A self-fulfilling prophecy,https://peterattiamd.com/alcohol-sleep-and-stress/
31,The impact of alcohol on sleep,https://peterattiamd.com/does-alcohol-help-you-sleep/
32,How alcohol disrupts sleep and contributes to Alzheimer’s disease,https://peterattiamd.com/alcohol-sleep-and-alzheimers-disease/
33,Visceral Fat vs. Subcutaneous Fat — What’s the Difference?,https://peterattiamd.com/visceral-fat-vs-subcutaneous-fat-whats-the-difference/
34,Should BMI be used? Measuring obesity at the individual level,https://peterattiamd.com/should-bmi-be-used-measuring-obesity-at-the-individual-level/
36,Rick Johnson M.D. on the relationship between salt & blood pressure,https://peterattiamd.com/the-relationship-between-salt-blood-pressure/
37,Ketone Monitoring with Biosense,https://peterattiamd.com/ketone-monitoring-with-biosense/
38,#197 – The science of obesity & how to improve nutritional epidemiology | David Allison Ph.D.,https://peterattiamd.com/davidallison/
39,Nutritional epidemiology: abolition vs defending the status quo,https://peterattiamd.com/nutritional-epidemiology-abolition-vs-defending-the-status-quo/
40,Peter Attia on mitigating and reversing insulin resistance with nutrition,https://peterattiamd.com/how-to-reverse-insulin-resistance-with-diet/
43,Peter Attia on How Insulin Resistance Manifests in the Muscle,https://peterattiamd.com/peter-attia-on-how-insulin-resistance-manifests-in-the-muscle/
44,#194 – How fructose drives metabolic disease | Rick Johnson M.D.,https://peterattiamd.com/rickjohnson2/
46,Is lab-grown meat the ‘meat of the future’?,https://peterattiamd.com/is-lab-grown-meat-the-meat-of-the-future/
47,Ketogenic Diets: Not For Everyone?,https://peterattiamd.com/ketogenic-diets-not-for-everyone/
