"Position","link","img","title","subtitle","price","rating"
1,"https://wolt.com/nb/nor/oslo/restaurant/subway-lille-grensen","https://imageproxy.wolt.com/venue/608c07c4efba07b77b84b9b4/57255d12-a9b9-11eb-ade3-4a5e01e07705_subway__list.jpeg","Subway Lille Grensen","Bredt utvalg av sandwicher 🌯","<span>$</span><span class=""sc-537ac15b-35 hxASyT"">$$$</span>",7
2,"https://wolt.com/nb/nor/oslo/restaurant/mcdonalds-klingenberggaten","https://imageproxy.wolt.com/venue/5ddd44b9296ea7b46a1f2c2e/fb508206-6769-11ea-8418-0a58647d125f_Layer%201%20%28003%29.jpg","McDonald's Klingenberggaten","I'm lovin it","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8
3,"https://wolt.com/nb/nor/oslo/restaurant/sunt-nam-oslo","https://imageproxy.wolt.com/venue/5f3ce0620c7ce8b2d660d24e/7796719c-69e7-11eb-bb5c-7ed6678a090f_s__forsidebilde.jpg","Sunt & Nam Oslo","En take-away restaurant som tilbyr kinesisk mat og sushi til en rimelig pris 👋 🍜","<span>$</span><span class=""sc-537ac15b-35 hxASyT"">$$$</span>",9
4,"https://wolt.com/nb/nor/oslo/restaurant/sushi-dinner","https://imageproxy.wolt.com/venue/5e1dde1aa5bcb08a5e1759f0/724b0da6-5c9f-11eb-802d-e679ca5e9e7a_sushi___dinner___img_2350.png","Sushi & Dinner","Håndlaget sushi til en rimelig pris.","<span>$</span><span class=""sc-537ac15b-35 hxASyT"">$$$</span>",8.8
5,"https://wolt.com/nb/nor/oslo/restaurant/bari-pizza","https://imageproxy.wolt.com/venue/6052409040b1daa0f1670a22/452b8cdc-922e-11eb-8a57-ce7f5cb3d64b_bari_pizza_og_grill1121.jpg","Bari Pizza","Pizza, grill, falafels & kebabs","<span>$</span><span class=""sc-537ac15b-35 hxASyT"">$$$</span>",8.4
6,"https://wolt.com/nb/nor/oslo/restaurant/balkan-pizza-kebab-bislett","https://imageproxy.wolt.com/venue/5ddbb2f2ebacac96bd5aa485/0825f95a-a229-11ed-9b23-9e9677c9f9f2_balkan1932.jpg","Balkan Pizza & Kebab Bislett","🏆 Mest solgte kebaben på Wolt 2021","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",7.8
7,"https://wolt.com/nb/nor/oslo/restaurant/bahn-mi-cousin","https://imageproxy.wolt.com/venue/5dc42932256b3a30fdf14fb3/bbb98b1ba9d19dd04e40f9fed28a1e77","Bahn Mi Cousins","Vietnamese restaurant!","<span>$</span><span class=""sc-537ac15b-35 hxASyT"">$$$</span>",9
8,"https://wolt.com/nb/nor/oslo/restaurant/digg-pizza-torggata","https://imageproxy.wolt.com/venue/620ba315e563c1faa7a9b2d6/dfc54bd6-8127-11ed-8ad8-5e1fad73849c_header_2.png","Digg Pizza Torggata","Digg pizza til digg pris","<span>$</span><span class=""sc-537ac15b-35 hxASyT"">$$$</span>",8
9,"https://wolt.com/nb/nor/oslo/restaurant/mediterranean-grill","https://imageproxy.wolt.com/venue/5f109a903a71c33f8daae7df/d1b9545a-ccc1-11ea-8767-eadb5773510d_hero_shot_7.jpg","Mediterranean Grill","Ekte gatemat i Torggata!","<span>$</span><span class=""sc-537ac15b-35 hxASyT"">$$$</span>",8.4
10,"https://wolt.com/nb/nor/oslo/restaurant/falafel-n-juice-lkka","https://imageproxy.wolt.com/venue/602e30885bf50b67591a76fb/ed22c450-7bf9-11eb-8026-b2079492c89f_img_4118.jpg","FALAFEL n' JUICE Løkka","Vegansk fast food i form av fristende falafel og fersk juice","<span>$</span><span class=""sc-537ac15b-35 hxASyT"">$$$</span>",9.2
11,"https://wolt.com/nb/nor/oslo/restaurant/meiwei-spiseri","https://imageproxy.wolt.com/venue/5e997061a74370c60097b4e7/75bab4c6-9069-11ea-ae01-0a58646e6639_dsc04129_1_.jpg","MeiWei Spiseri","Asiatisk Fusion Kjøkken","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.8
12,"https://wolt.com/nb/nor/oslo/restaurant/jnk","https://imageproxy.wolt.com/venue/60910ec8639e56edf2233a35/23fe8cee-a21c-11ed-a4f2-fee0af26ec67_j_nk.jpg","Jønk Grønland","Årets Burger 2022 #woltawards 🍔🏆","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.6
13,"https://wolt.com/nb/nor/oslo/restaurant/bislett-kebab-house-avd-bislett","https://imageproxy.wolt.com/venue/61010f0abf60e18f7e335c9c/411420d2-f688-11eb-b1a6-12af51e04c09_bisklett_kebab_house8263.jpg","Bislett Kebab House Bislett","Den kjente Bislett Kebab!","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.2
